Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location
1093,0,4,3,4,2,0
3067,4,1,5,2,0,1
5211,0,1,3,13,1,0
1902,0,3,3,3,2,1
3249,0,1,3,13,0,1
6019,4,4,5,8,0,1
2411,3,3,3,5,1,1
2474,1,4,2,2,0,1
689,6,1,4,15,2,1
708,1,2,2,13,0,0
2630,4,4,5,8,2,0
5513,1,1,2,10,1,1
469,7,1,1,9,2,0
484,5,2,4,3,0,1
2438,0,2,3,16,0,0
6453,2,3,0,10,1,0
2968,5,3,4,5,2,1
6265,7,1,1,13,2,1
5765,1,2,2,13,2,0
6904,2,2,0,9,2,0
5506,0,2,3,16,2,0
2327,2,2,0,9,2,0
2367,6,4,4,7,1,0
6231,5,0,4,10,2,1
5510,0,1,3,13,2,1
5603,4,0,5,12,0,1
3480,0,2,3,16,0,0
5638,6,1,3,15,2,1
4463,6,4,4,7,1,0
1603,0,4,3,4,0,1
6120,6,0,4,10,2,1
5041,3,3,3,3,0,0
2337,6,1,4,15,2,0
3946,2,2,0,9,0,1
533,2,3,0,10,2,0
3279,3,4,3,4,1,1
4195,3,2,3,16,1,1
1571,1,1,2,10,1,1
4565,0,1,3,13,1,1
904,6,0,4,10,2,0
6244,3,2,3,16,1,1
2461,1,2,2,13,0,1
2203,2,0,0,0,2,0
1361,7,4,1,14,2,1
1714,6,2,4,3,1,0
4360,6,4,4,7,2,0
2269,4,3,5,7,0,0
6455,4,0,5,12,0,0
4793,3,0,3,9,2,1
6941,1,3,2,15,2,0
2636,0,2,3,16,1,0
5064,2,1,0,6,2,1
2444,4,1,5,2,1,1
3234,4,0,5,12,2,1
4457,2,4,0,12,2,1
5812,0,4,3,4,2,0
984,0,3,3,3,2,1
2979,1,3,2,15,2,0
3603,5,4,4,13,2,0
4644,4,2,3,4,2,0
5948,3,3,3,3,2,1
2211,7,2,1,11,1,0
2825,1,3,2,15,2,1
6760,5,2,4,3,1,0
4984,3,1,3,13,0,1
6445,3,4,1,14,2,0
3514,0,1,3,13,2,1
4449,3,1,3,13,2,1
5344,4,2,5,4,0,0
438,4,0,5,12,0,0
5877,2,1,0,6,2,1
748,6,4,4,7,1,1
802,5,1,4,15,0,1
5384,5,4,4,7,2,1
1233,4,1,5,2,0,1
826,7,0,1,1,2,0
1190,6,4,4,7,0,0
6581,5,3,4,5,2,0
5705,5,3,4,5,2,0
4888,0,3,3,3,2,1
6260,0,4,3,4,2,1
6011,3,3,3,3,0,1
97,6,4,4,7,1,1
3233,5,2,4,3,0,1
561,4,0,5,12,0,1
53,2,0,0,0,2,0
3667,6,0,4,10,2,1
838,2,1,0,6,2,1
886,6,4,4,7,1,1
6323,0,0,3,9,0,1
5963,2,0,0,0,2,1
6847,5,4,4,7,2,0
5159,7,4,1,14,1,0
99,6,0,4,10,2,0
794,7,2,1,11,2,0
6024,1,4,2,2,2,1
6818,1,2,2,13,1,1
805,0,2,3,16,0,1
231,6,0,4,10,2,1
1003,2,1,3,6,0,0
3136,6,2,4,3,1,0
3152,1,1,2,10,2,1
2165,7,2,1,11,2,0
5444,5,2,4,3,2,1
5115,4,2,5,4,0,1
152,2,0,0,0,2,0
4669,6,2,4,3,1,1
6435,6,1,4,15,2,1
4146,6,1,4,15,2,1
3544,3,0,0,0,0,0
2899,7,2,1,11,2,1
1630,2,0,0,0,2,1
3772,1,1,3,10,1,1
5162,4,3,5,7,2,1
5920,2,2,0,9,0,0
2585,2,2,0,9,2,0
4601,2,3,0,10,2,1
4517,1,4,2,2,0,1
2931,1,4,2,2,0,1
3944,1,4,2,2,2,0
5767,3,0,3,9,2,1
3599,4,4,5,8,1,1
5376,5,2,4,3,1,0
6016,6,1,4,15,2,0
392,6,1,4,15,2,1
4945,6,1,4,15,2,0
1507,3,3,3,3,1,1
1011,2,4,0,9,1,0
6630,4,2,5,4,0,1
1438,7,1,1,9,2,1
624,3,2,3,16,0,0
4851,0,0,3,9,1,1
1681,6,0,4,10,1,1
5321,5,4,4,7,2,1
6327,7,1,1,9,0,1
83,6,1,4,15,0,0
3354,5,4,4,7,2,1
25,1,2,2,13,0,1
5805,3,2,4,3,0,1
857,1,2,2,13,2,1
3748,0,2,3,16,1,1
2496,5,2,4,3,2,0
3252,2,3,0,10,0,0
5729,3,3,4,5,2,1
269,7,3,1,13,2,0
2353,3,0,3,9,2,0
5324,7,1,1,9,2,1
6035,0,4,3,4,2,0
817,6,2,4,3,1,0
6594,3,1,4,15,0,1
2085,2,1,3,6,0,1
5710,4,1,5,2,2,1
6474,0,2,3,16,2,0
3496,1,0,2,6,0,0
4202,1,4,2,10,1,0
6464,2,1,0,6,1,1
1041,0,4,3,4,2,1
3857,0,4,3,4,2,1
5618,7,4,1,14,2,1
311,2,0,0,0,1,0
974,4,3,5,7,1,1
5098,4,0,5,12,0,1
1994,3,0,0,0,1,1
2396,7,4,1,14,2,1
333,3,2,3,16,0,0
1288,0,1,3,13,1,1
1875,7,1,1,9,2,1
5685,2,4,0,12,0,0
696,0,0,3,9,0,0
5969,5,4,4,7,2,0
2055,7,3,1,13,2,1
3117,2,0,0,0,1,1
4086,4,3,5,7,1,1
2294,1,3,2,15,1,1
163,2,3,3,10,0,1
2815,7,4,1,14,1,0
5628,7,3,1,13,0,1
2116,0,3,3,3,1,0
3584,2,1,0,6,2,1
2947,3,4,3,9,1,1
422,4,2,5,4,2,0
609,0,0,3,9,0,0
2131,5,1,4,15,0,1
1,2,4,0,12,2,1
5551,6,4,4,7,2,0
2996,5,0,4,10,2,0
3179,0,1,3,13,0,1
1616,1,4,2,2,2,1
5270,1,4,2,2,1,1
5546,5,1,4,15,2,1
663,5,3,4,5,0,0
4704,7,0,1,1,2,0
3018,5,0,4,10,2,0
1001,7,1,1,9,2,1
4654,0,4,3,4,2,1
4576,3,4,3,4,2,0
2106,5,1,4,15,2,1
3180,0,0,3,9,2,0
2682,3,3,3,3,1,1
5669,2,2,0,9,1,1
565,4,1,5,2,0,1
2172,0,3,3,3,1,1
2494,7,3,1,13,0,0
6079,6,0,4,13,2,1
5161,1,0,2,6,2,0
6984,3,1,3,13,2,1
888,7,3,1,13,0,1
753,5,4,4,7,2,1
1705,1,4,2,13,0,1
1593,0,2,3,16,2,1
4952,2,3,0,10,2,1
930,6,0,4,10,0,1
1769,1,3,2,15,0,1
4241,0,3,3,3,1,1
6152,5,3,4,5,1,1
6414,4,0,5,12,1,1
1488,5,1,4,15,2,1
1652,5,3,4,5,1,1
1894,1,3,2,15,2,0
2064,4,3,5,7,2,0
5897,3,4,3,4,1,0
6315,5,4,4,7,2,1
1360,2,4,0,12,2,0
5223,2,0,0,0,0,1
6501,7,3,1,13,1,0
3254,0,0,3,9,2,0
4971,6,4,4,7,1,1
2873,3,1,3,13,0,0
5509,7,3,1,13,1,0
6125,3,3,3,3,2,1
2700,3,1,3,13,0,1
2030,2,0,0,0,0,0
3028,7,4,1,14,2,1
4942,5,0,4,10,2,1
3192,0,4,3,4,0,1
4234,5,3,4,5,0,1
5664,0,1,3,13,1,1
5396,5,2,4,3,2,0
1320,4,2,5,4,2,1
2179,4,1,5,2,2,1
5576,5,1,4,15,2,0
4006,3,1,3,13,2,1
2204,7,0,1,1,2,0
5732,0,2,3,16,2,1
6088,5,2,4,3,0,1
5153,0,4,3,4,2,1
2114,2,4,0,12,2,1
4956,3,1,3,13,2,1
5612,4,2,5,4,0,0
2372,6,1,4,15,0,0
2414,7,2,1,11,0,1
2973,2,0,0,0,0,0
6129,6,4,4,7,0,0
5718,3,1,3,13,2,1
741,1,2,2,13,2,1
1569,0,3,3,3,2,0
909,5,1,4,15,1,1
6233,4,3,5,7,2,1
6533,6,0,4,10,2,1
1204,5,0,4,10,0,1
2831,3,2,3,16,0,1
4824,0,1,3,13,2,1
5137,2,4,0,0,2,0
1352,7,4,1,14,0,0
5644,1,0,2,6,2,1
1583,4,4,5,8,2,1
272,2,3,0,10,0,0
4542,7,1,1,9,2,1
2319,3,4,3,4,1,1
5906,5,3,4,5,2,1
828,5,3,4,5,2,1
3673,7,2,1,11,1,1
2910,6,4,3,7,2,1
4492,4,4,5,8,2,1
5372,5,4,4,7,2,1
542,3,4,3,4,1,1
1868,0,4,3,4,0,1
7004,0,3,3,3,2,0
116,4,4,5,8,2,1
6355,1,3,2,15,2,0
1747,6,3,4,5,2,0
5175,5,4,4,7,2,1
1993,1,1,2,10,0,1
4115,3,0,3,9,1,1
5960,2,3,0,10,1,1
4297,5,4,4,7,2,1
1482,1,1,2,13,0,1
3621,4,3,5,7,2,0
1117,4,4,5,8,2,1
2955,2,0,0,0,2,0
6628,0,2,3,16,2,1
5768,7,2,1,11,2,1
2800,6,2,4,3,1,1
3350,7,1,1,9,2,1
973,1,0,2,6,0,0
2237,4,0,5,12,0,1
5187,7,2,1,11,1,1
5024,5,3,4,5,2,1
249,6,3,4,5,0,1
4001,3,2,3,16,2,0
5200,5,4,4,10,2,0
6470,2,1,0,6,1,0
4078,1,2,2,13,0,1
916,6,1,4,15,2,1
3756,6,2,4,3,1,0
6437,1,4,2,2,2,0
3861,2,0,0,0,2,0
5967,4,3,5,7,1,1
79,4,3,5,7,2,0
6589,2,1,0,6,2,1
5201,3,1,3,13,0,1
986,1,0,2,6,2,1
4633,0,3,3,3,2,0
4199,7,1,1,9,0,0
1014,2,4,0,12,1,1
6702,0,3,3,3,1,1
75,4,0,5,12,0,0
6431,4,1,5,2,2,1
186,2,4,0,12,2,1
1432,4,3,5,7,2,1
5164,4,1,5,2,1,1
1800,2,0,0,0,2,1
1960,4,3,5,7,1,0
1949,2,0,0,0,2,0
1720,7,1,1,9,2,1
2078,0,0,3,9,2,1
1701,0,1,3,13,0,1
3198,0,4,3,4,1,1
4698,1,3,2,15,1,1
884,2,2,0,9,0,1
6005,4,1,5,2,0,1
6235,3,4,3,4,2,0
1109,5,1,4,15,2,0
971,6,0,4,10,1,0
375,7,4,1,14,2,1
6046,3,0,3,9,2,0
2618,3,3,3,3,1,1
3895,5,2,4,3,2,0
5709,3,4,3,13,2,0
6421,3,3,3,3,2,1
6246,4,3,3,7,2,1
4538,7,3,1,13,2,0
3545,5,2,4,3,2,1
3721,5,4,4,7,2,0
6468,4,2,5,4,0,1
6467,0,2,3,16,2,0
1884,6,1,4,15,2,0
6538,5,4,4,7,0,0
890,4,0,5,12,1,1
1869,0,2,3,16,0,1
4700,4,4,5,8,1,0
1692,2,3,0,10,2,1
6545,4,4,5,4,1,1
5498,7,1,1,9,2,1
4238,3,2,2,13,2,1
3112,2,2,0,9,2,1
6520,0,2,3,16,2,1
6340,0,3,3,3,0,1
582,3,3,3,3,0,1
5917,0,0,3,9,1,1
5532,7,0,1,1,0,1
1534,2,0,0,0,2,0
1948,6,2,4,3,1,1
5193,3,3,3,3,1,0
6446,0,0,3,9,2,0
1290,4,3,5,7,2,1
4303,0,4,3,4,0,0
4627,1,2,2,13,2,1
4245,6,4,4,7,0,1
6444,2,4,0,12,0,0
54,6,0,3,10,2,1
2969,0,0,3,9,0,1
5462,3,0,3,9,0,1
6003,4,1,5,2,2,1
4884,1,4,2,2,0,1
5073,4,1,5,2,0,1
3993,2,4,0,12,1,1
4045,4,2,5,4,1,0
3567,0,4,3,3,0,0
580,4,4,5,8,1,1
5262,7,1,1,9,2,1
2869,5,3,4,5,1,0
3379,1,3,2,15,1,1
6215,1,1,2,10,1,1
4311,3,0,2,13,2,1
486,0,3,3,3,1,1
394,6,2,4,3,2,0
198,4,0,5,12,2,1
6928,3,0,3,9,0,0
524,1,2,2,13,1,0
1211,6,1,4,15,2,1
2747,5,2,4,3,2,1
3237,7,4,1,14,2,1
6294,4,0,5,12,2,1
584,7,4,1,14,2,1
2036,0,0,3,9,2,1
869,5,3,4,5,1,0
4225,7,0,1,1,2,0
6031,4,2,5,4,2,1
4886,5,0,4,10,2,1
5788,5,0,4,10,2,1
2781,7,1,1,9,1,1
936,7,3,1,13,0,1
5413,5,3,4,5,2,1
4430,1,4,2,2,2,1
4060,4,2,5,4,2,0
3774,1,3,2,15,1,1
7007,5,0,4,10,0,1
2813,1,1,2,10,2,1
3162,3,4,3,4,0,1
3657,3,0,3,9,0,0
649,7,0,1,1,2,1
4706,7,3,1,13,2,1
1723,1,2,2,13,2,1
1298,5,2,4,3,1,1
5446,1,1,2,10,2,1
3371,3,1,3,13,1,1
12,6,4,4,7,2,1
6588,7,1,1,9,2,0
3640,6,3,4,5,1,1
5034,3,3,3,3,2,1
3266,7,4,1,14,2,1
4053,7,1,1,9,2,1
3927,7,3,1,13,2,1
3757,4,4,5,8,2,0
5198,3,2,3,16,2,0
28,6,0,4,10,0,0
1764,3,4,1,14,2,1
1015,1,2,2,13,2,0
6465,2,2,0,9,1,0
4394,3,3,3,3,2,1
1532,4,4,5,8,0,0
4420,3,2,3,16,2,1
4833,4,4,5,8,2,1
868,3,3,3,3,2,1
3370,3,2,3,16,2,1
2717,2,0,0,0,2,1
6724,7,1,1,9,2,1
2916,3,0,3,9,2,1
5706,2,1,0,6,0,1
2063,6,1,4,15,1,1
3430,6,4,4,7,2,0
6412,2,3,0,10,2,0
2395,3,3,3,3,1,1
1881,5,4,4,10,2,0
870,5,0,4,10,2,0
5373,5,2,4,3,1,1
1165,2,2,0,9,1,1
6298,3,0,4,10,2,1
338,1,2,2,13,0,0
530,6,2,4,3,1,1
4507,4,1,5,2,0,1
4720,7,3,1,13,1,0
1985,3,4,4,7,2,1
1440,3,4,3,4,0,1
5459,3,0,3,10,2,1
2932,2,2,0,9,1,0
5422,0,2,3,16,1,1
6255,1,0,2,6,2,1
3079,4,1,5,2,2,1
418,6,1,4,15,1,1
5429,5,4,4,7,1,0
6283,2,1,3,6,2,1
5559,7,2,1,11,0,1
6907,5,4,4,7,2,1
5492,2,0,0,0,1,1
5180,0,2,3,16,1,1
2389,5,0,4,10,2,1
2784,0,1,3,13,0,0
1939,3,3,3,3,1,0
6649,4,0,5,12,2,1
18,2,3,0,10,2,0
4940,4,2,5,4,0,1
3297,7,4,1,14,2,1
5502,3,3,3,3,1,1
2669,4,4,5,8,2,0
1850,3,2,3,16,2,1
3485,3,3,3,3,0,1
4114,0,0,3,9,2,1
5658,7,3,1,13,1,1
4329,1,2,2,13,2,0
1734,6,1,4,15,2,1
1675,1,3,2,15,0,1
4314,7,4,1,14,1,1
3651,0,0,3,9,2,1
2923,3,2,3,16,1,0
1999,0,0,3,9,2,1
5533,5,0,4,10,0,0
924,2,3,0,10,0,1
240,2,1,0,6,2,1
4263,7,4,1,14,2,1
1394,0,1,3,13,2,1
5525,7,0,1,1,0,1
2022,2,2,0,9,2,1
6346,1,4,2,2,0,1
1944,3,3,1,13,1,0
771,6,4,4,7,2,0
937,3,0,3,9,0,0
746,6,1,4,15,2,1
593,0,1,3,13,0,1
1137,6,4,4,7,2,0
5507,1,1,2,10,1,1
585,4,4,5,8,1,1
7006,5,3,4,5,2,1
5438,5,4,4,7,1,1
681,0,1,3,13,2,1
855,3,1,3,13,2,1
6680,3,4,3,4,2,1
4510,0,3,3,3,2,1
3696,0,0,3,9,2,1
2186,6,4,4,7,2,1
5348,6,2,4,3,2,0
825,6,4,4,7,2,1
3735,4,0,5,12,2,1
2167,1,4,2,2,0,0
2887,4,1,5,2,1,1
3317,4,4,5,8,1,0
3541,2,0,0,0,2,1
1115,5,2,4,3,2,0
1447,4,1,5,2,2,1
2195,0,2,3,16,2,0
5252,7,0,1,1,1,0
3206,0,4,3,4,1,0
3286,7,0,1,1,2,1
5692,6,1,4,15,0,1
1718,2,1,0,6,2,1
6748,3,1,3,13,0,0
3036,2,0,0,0,2,1
4992,1,0,2,6,2,0
3439,1,4,2,2,2,1
3677,6,0,4,10,1,1
2526,1,4,2,2,2,1
2790,3,2,3,16,0,0
74,5,3,4,5,0,1
5103,3,0,3,9,0,1
3334,5,3,4,5,2,1
2421,5,0,4,10,2,1
2113,7,3,1,13,2,1
6372,3,0,3,9,2,1
3693,3,1,1,9,2,0
3660,1,1,2,10,2,1
6957,6,0,4,10,2,0
2147,4,1,5,2,1,0
1580,4,1,5,2,2,0
5780,4,4,5,8,0,1
4182,7,4,1,14,1,1
2668,2,1,0,6,2,0
1202,6,4,4,7,0,1
1920,3,3,3,3,2,0
3469,5,1,4,15,2,0
6272,6,0,4,13,0,1
5905,3,4,3,4,2,1
643,7,4,1,14,1,1
6379,0,0,3,9,2,1
2219,5,0,4,10,1,0
6948,5,4,4,7,0,0
2343,7,1,1,9,2,1
4151,3,1,5,2,2,1
4165,3,1,3,13,2,1
3967,1,4,2,2,2,1
5090,4,1,5,2,0,0
71,6,3,4,5,2,0
1950,1,0,2,6,2,0
2794,6,3,4,5,1,1
821,7,1,1,9,2,1
3219,7,3,1,13,0,0
5311,4,1,5,2,1,1
3507,3,2,3,16,2,0
3688,3,2,5,13,0,1
935,3,2,3,16,1,1
2483,1,4,2,2,0,1
3212,2,1,0,6,1,0
6121,3,4,3,4,1,1
6932,1,1,2,10,2,1
1544,3,2,3,16,0,1
4796,0,0,3,9,2,1
1032,1,4,2,6,0,1
3464,4,4,5,8,2,0
6199,7,1,1,9,2,1
4903,7,3,1,13,1,0
5075,2,0,0,0,1,0
369,7,2,1,11,1,0
5203,5,3,4,5,0,0
1905,4,3,5,7,1,1
3854,6,0,4,10,1,1
3620,1,0,2,6,1,0
4276,5,3,4,5,2,0
3208,5,1,4,15,2,0
4909,3,0,3,9,2,1
1867,1,2,2,13,1,1
6329,3,3,4,5,1,0
839,7,3,1,13,1,1
2391,5,4,4,7,2,1
381,4,3,5,7,0,0
3299,0,2,3,16,0,1
5979,3,2,5,4,1,0
3691,7,3,1,13,1,1
2415,5,1,4,15,0,0
2885,7,1,1,9,2,1
4677,2,3,0,10,0,1
5412,0,2,3,16,1,1
2139,0,0,3,9,2,1
2546,0,2,3,16,2,0
2508,6,0,4,10,2,1
6696,0,1,3,13,1,0
2265,4,2,5,4,0,1
3666,5,0,4,10,1,1
3978,4,3,5,7,1,0
5248,4,3,5,7,2,0
4892,4,0,5,12,0,1
4048,0,2,3,16,0,0
5416,0,0,3,9,2,1
4321,0,0,3,9,1,1
4549,4,1,5,2,1,1
6524,7,1,1,9,0,1
4073,7,3,1,13,2,0
5753,1,2,2,13,2,1
4812,3,2,3,16,2,0
2268,1,1,2,10,1,1
3565,0,1,3,13,1,1
4003,4,4,5,8,1,1
2927,7,2,1,11,1,1
6510,2,0,0,0,2,1
3539,7,4,1,1,0,1
6749,4,0,5,12,0,1
4455,6,1,4,15,2,0
3589,5,2,4,3,2,1
3646,2,1,0,6,0,1
315,4,3,5,7,1,1
6090,0,4,3,4,1,1
2354,5,3,4,5,1,0
1526,0,3,3,3,2,1
4772,7,4,1,14,0,0
3516,3,4,3,4,2,1
6360,2,1,0,6,0,1
5385,4,2,5,4,2,1
1995,0,1,3,13,2,0
445,0,1,3,13,0,0
6548,6,0,4,10,2,1
1610,3,4,4,7,1,1
933,7,0,1,1,2,1
3658,3,1,3,13,2,1
514,3,3,3,3,2,0
692,7,4,1,14,2,1
1338,4,1,5,2,0,0
5964,5,4,4,7,0,1
3228,4,2,5,4,2,1
6388,6,2,4,3,2,1
4672,3,4,3,4,2,1
1796,4,4,5,8,1,0
5871,0,2,3,16,2,1
5776,6,2,4,3,1,0
6852,4,0,5,12,0,0
2279,1,2,2,13,2,1
313,6,1,4,15,1,0
1136,0,0,3,9,1,1
1879,0,1,3,13,0,0
4774,5,0,4,10,1,0
6115,6,1,4,15,0,0
491,6,3,4,5,1,1
4100,5,0,4,10,0,0
2226,4,3,3,7,2,1
1891,6,0,4,10,2,1
4331,7,2,1,11,2,1
4703,2,0,0,0,0,0
598,4,3,5,7,2,1
4626,5,0,4,10,0,1
4961,1,1,2,10,0,0
548,3,4,3,4,2,0
6371,0,0,3,13,2,0
1092,6,4,4,7,2,1
3148,1,3,2,15,0,0
5286,5,4,4,7,0,1
2799,5,1,4,15,2,1
4618,7,3,1,13,2,0
5671,1,4,2,2,1,1
2498,5,3,4,5,2,0
1402,2,3,0,10,2,1
1828,0,4,3,4,0,0
4144,5,4,4,7,2,1
6502,1,2,2,13,1,1
3474,1,3,2,15,2,1
167,2,0,0,0,2,1
2594,3,3,3,3,2,1
2175,1,3,2,15,2,0
1653,0,4,3,4,2,1
4536,4,4,5,8,0,0
4381,2,0,0,0,1,1
2533,2,2,0,9,0,1
4915,3,2,3,16,1,1
4821,4,3,5,7,2,1
1122,3,2,3,16,1,1
3466,1,3,2,15,2,1
3492,4,3,5,7,2,0
16,4,3,5,7,0,0
1690,3,3,3,3,2,1
4106,2,1,0,6,1,1
4716,0,2,3,16,2,0
1608,1,3,2,15,0,1
3873,2,1,0,6,1,1
5062,7,0,1,1,0,0
36,3,4,0,12,2,0
1686,6,1,4,15,1,1
2903,7,0,1,1,0,1
927,1,3,2,15,2,0
2907,6,3,4,5,2,1
558,7,1,1,9,1,0
6560,0,1,3,13,1,1
7022,5,1,4,15,2,1
6245,5,3,4,5,2,1
1829,3,0,2,6,0,1
6648,3,2,3,16,0,1
6587,5,0,4,10,2,0
5353,0,3,3,3,0,1
744,6,4,4,7,2,0
133,5,0,4,10,2,0
6234,6,0,4,10,2,1
2478,4,4,5,8,2,1
2538,2,1,0,6,2,0
5174,1,1,2,10,2,0
6310,2,1,0,6,1,1
875,3,0,0,0,2,0
3921,1,1,2,10,1,1
4705,1,3,2,15,2,1
2158,5,1,4,15,0,1
3770,5,3,4,5,2,1
3617,6,1,4,15,2,0
5199,6,2,4,3,0,0
5829,0,0,3,9,0,1
4411,3,2,2,13,2,0
592,6,4,4,7,0,1
3070,0,1,3,13,0,1
7031,0,4,3,4,1,1
6058,7,0,1,1,0,1
4334,5,3,4,5,0,1
757,5,3,4,5,0,1
3046,5,0,4,10,0,1
2035,1,4,2,2,1,1
4598,1,0,2,6,1,1
5800,0,2,3,16,0,1
260,5,1,4,13,2,1
4024,6,0,4,10,2,1
5356,7,1,1,9,1,1
5655,2,0,0,0,2,1
2160,3,1,3,13,2,1
1567,2,1,0,6,2,1
6072,0,1,3,13,1,1
1506,5,2,4,3,2,0
2442,7,4,1,14,0,1
754,4,3,5,7,1,0
69,1,4,2,2,0,1
2169,0,1,3,13,2,0
6384,3,2,3,16,2,1
851,0,0,3,9,2,0
3487,1,0,2,6,2,1
4111,0,0,3,9,2,1
6459,7,4,1,14,2,1
6189,1,3,2,15,2,1
3189,0,0,3,9,2,1
6728,3,3,3,3,0,1
3217,3,3,3,3,1,1
3509,6,3,4,5,0,1
274,4,0,5,12,0,1
1753,1,1,2,10,1,1
6495,0,3,3,3,2,1
5563,0,4,3,4,0,1
2648,0,2,3,16,0,1
3420,0,4,3,4,2,0
7016,6,2,4,3,2,1
6373,1,3,2,15,2,1
4233,3,4,4,7,2,1
4287,0,3,3,3,1,0
5306,5,0,4,10,2,1
5862,0,3,3,3,1,1
5738,3,2,3,16,2,1
98,1,2,2,13,1,0
2611,0,1,3,13,2,1
4062,5,4,4,7,0,0
1922,2,3,0,10,2,1
4614,4,0,5,12,0,1
3085,2,4,0,12,1,0
4107,7,1,1,9,2,0
2473,1,1,2,10,2,0
3489,1,4,2,2,1,1
4590,1,3,2,15,1,1
4938,3,4,3,4,2,0
2231,3,4,0,12,0,0
4352,3,2,3,16,2,1
2684,4,2,5,4,2,1
5128,1,1,2,10,2,0
1965,3,2,3,16,1,1
4533,4,2,5,4,1,1
1182,2,0,0,0,0,1
1638,3,4,3,4,2,1
4407,4,1,5,2,2,1
4780,5,3,4,5,2,1
4693,0,2,3,16,1,1
1907,6,4,4,7,2,0
5924,3,2,3,16,2,1
5141,6,3,4,5,1,1
6099,4,4,5,8,2,1
6202,2,4,0,12,2,1
6875,1,4,2,2,1,1
6134,6,4,4,7,2,1
506,3,2,3,16,0,1
2607,1,2,2,13,2,1
1110,1,0,2,6,0,1
6377,5,3,4,5,0,0
5016,1,3,2,15,2,0
450,0,3,3,3,2,1
1831,5,2,4,3,1,1
6712,5,0,4,10,2,0
273,0,2,3,16,2,1
1064,0,2,3,16,0,0
6674,2,1,0,6,2,1
3863,2,2,0,9,2,1
3146,3,3,4,5,2,1
1757,5,4,4,7,2,0
3798,3,0,3,9,2,1
3633,3,4,3,4,1,1
5329,3,1,3,13,2,1
5096,2,4,0,12,2,1
4041,0,2,3,16,2,1
2068,5,1,4,15,2,1
4279,5,4,4,7,2,1
3309,1,4,2,2,2,1
3139,5,4,4,7,1,0
5682,7,4,1,14,2,1
5401,6,1,4,15,2,1
3051,3,4,5,8,2,1
2510,3,3,3,3,0,1
2558,0,1,3,13,2,1
4908,5,4,4,7,2,1
2774,2,0,0,0,2,0
4783,3,1,3,13,0,1
3792,3,0,3,9,0,0
1148,7,4,1,14,2,1
3835,7,1,1,9,1,1
